Folds number,Fold,Random State,Dropout probability,Activation function,Learning Rate,Epochs,Layers number,Hidden Size,RMSE
5,1,100,0.5,ReLU,0.01,100,3,256,1.3725321
5,1,100,0.5,Tanh,0.01,100,3,256,25.8921
5,1,100,0.5,Sigmoid,0.01,100,3,256,16.75212
5,1,100,0.5,Softmax,0.01,100,3,256,38.029297
5,1,100,0.5,GELU,0.01,100,3,256,2.502325
5,1,100,0.5,ReLU,0.01,100,4,256,6.987444
5,1,100,0.5,Tanh,0.01,100,4,256,25.94685
5,1,100,0.5,Sigmoid,0.01,100,4,256,16.74381
5,1,100,0.5,Softmax,0.01,100,4,256,38.126842
5,1,100,0.5,GELU,0.01,100,4,256,7.575236
5,1,100,0.5,ReLU,0.01,150,1,16,6.0284467
5,1,100,0.5,Tanh,0.01,150,1,16,23.481709
5,1,100,0.5,Sigmoid,0.01,150,1,16,24.974176
5,1,100,0.5,Softmax,0.01,150,1,16,37.318123
5,1,100,0.5,GELU,0.01,150,1,16,4.87315
5,1,100,0.5,ReLU,0.01,150,2,16,5.255206
5,1,100,0.5,Tanh,0.01,150,2,16,23.238434
5,1,100,0.5,Sigmoid,0.01,150,2,16,25.247364
5,1,100,0.5,Softmax,0.01,150,2,16,36.97907
5,1,100,0.5,GELU,0.01,150,2,16,7.458919
5,1,100,0.5,ReLU,0.01,150,3,16,7.065076
5,1,100,0.5,Tanh,0.01,150,3,16,23.273335
5,1,100,0.5,Sigmoid,0.01,150,3,16,25.211704
5,1,100,0.5,Softmax,0.01,150,3,16,37.280613
5,1,100,0.5,GELU,0.01,150,3,16,7.9365754
5,1,100,0.5,ReLU,0.01,150,4,16,11.755288
5,1,100,0.5,Tanh,0.01,150,4,16,23.121122
5,1,100,0.5,Sigmoid,0.01,150,4,16,24.878502
5,1,100,0.5,Softmax,0.01,150,4,16,37.33199
5,1,100,0.5,GELU,0.01,150,4,16,8.328488
5,1,100,0.5,ReLU,0.01,150,1,32,1.941607
5,1,100,0.5,Tanh,0.01,150,1,32,14.011659
5,1,100,0.5,Sigmoid,0.01,150,1,32,18.18218
5,1,100,0.5,Softmax,0.01,150,1,32,37.118183
5,1,100,0.5,GELU,0.01,150,1,32,2.987273
5,1,100,0.5,ReLU,0.01,150,2,32,3.4194102
5,1,100,0.5,Tanh,0.01,150,2,32,16.815178
5,1,100,0.5,Sigmoid,0.01,150,2,32,18.136408
5,1,100,0.5,Softmax,0.01,150,2,32,37.277588
5,1,100,0.5,GELU,0.01,150,2,32,3.4237938
5,1,100,0.5,ReLU,0.01,150,3,32,8.545164
5,1,100,0.5,Tanh,0.01,150,3,32,16.834167
5,1,100,0.5,Sigmoid,0.01,150,3,32,18.14735
5,1,100,0.5,Softmax,0.01,150,3,32,37.19363
5,1,100,0.5,GELU,0.01,150,3,32,4.968596
5,1,100,0.5,ReLU,0.01,150,4,32,6.951608
5,1,100,0.5,Tanh,0.01,150,4,32,16.822008
5,1,100,0.5,Sigmoid,0.01,150,4,32,18.375183
5,1,100,0.5,Softmax,0.01,150,4,32,37.183758
5,1,100,0.5,GELU,0.01,150,4,32,5.8818035
5,1,100,0.5,ReLU,0.01,150,1,64,1.9509892
5,1,100,0.5,Tanh,0.01,150,1,64,12.144103
5,1,100,0.5,Sigmoid,0.01,150,1,64,13.550332
5,1,100,0.5,Softmax,0.01,150,1,64,37.184696
5,1,100,0.5,GELU,0.01,150,1,64,1.5344148
5,1,100,0.5,ReLU,0.01,150,2,64,1.7447255
5,1,100,0.5,Tanh,0.01,150,2,64,13.043596
5,1,100,0.5,Sigmoid,0.01,150,2,64,16.749878
5,1,100,0.5,Softmax,0.01,150,2,64,37.191082
5,1,100,0.5,GELU,0.01,150,2,64,2.3448675
5,1,100,0.5,ReLU,0.01,150,3,64,7.0324736
5,1,100,0.5,Tanh,0.01,150,3,64,22.278954
5,1,100,0.5,Sigmoid,0.01,150,3,64,16.747902
5,1,100,0.5,Softmax,0.01,150,3,64,37.271587
5,1,100,0.5,GELU,0.01,150,3,64,3.055686
5,1,100,0.5,ReLU,0.01,150,4,64,5.478445
5,1,100,0.5,Tanh,0.01,150,4,64,22.205093
5,1,100,0.5,Sigmoid,0.01,150,4,64,16.745987
5,1,100,0.5,Softmax,0.01,150,4,64,37.125736
5,1,100,0.5,GELU,0.01,150,4,64,2.2320662
5,1,100,0.5,ReLU,0.01,150,1,128,0.7756338
5,1,100,0.5,Tanh,0.01,150,1,128,18.066133
5,1,100,0.5,Sigmoid,0.01,150,1,128,16.22186
5,1,100,0.5,Softmax,0.01,150,1,128,37.20563
5,1,100,0.5,GELU,0.01,150,1,128,0.66393924
5,1,100,0.5,ReLU,0.01,150,2,128,1.2255367
5,1,100,0.5,Tanh,0.01,150,2,128,18.232294
5,1,100,0.5,Sigmoid,0.01,150,2,128,16.742367
5,1,100,0.5,Softmax,0.01,150,2,128,37.254276
5,1,100,0.5,GELU,0.01,150,2,128,2.517516
5,1,100,0.5,ReLU,0.01,150,3,128,2.1952772
5,1,100,0.5,Tanh,0.01,150,3,128,25.726593
5,1,100,0.5,Sigmoid,0.01,150,3,128,16.738821
5,1,100,0.5,Softmax,0.01,150,3,128,37.264282
5,1,100,0.5,GELU,0.01,150,3,128,3.5025084
5,1,100,0.5,ReLU,0.01,150,4,128,4.3247385
5,1,100,0.5,Tanh,0.01,150,4,128,25.672087
5,1,100,0.5,Sigmoid,0.01,150,4,128,16.739079
5,1,100,0.5,Softmax,0.01,150,4,128,37.24782
5,1,100,0.5,GELU,0.01,150,4,128,4.251449
5,1,100,0.5,ReLU,0.01,150,1,256,0.17596535
5,1,100,0.5,Tanh,0.01,150,1,256,21.793917
5,1,100,0.5,Sigmoid,0.01,150,1,256,16.46827
5,1,100,0.5,Softmax,0.01,150,1,256,37.24286
5,1,100,0.5,GELU,0.01,150,1,256,0.30671155
5,1,100,0.5,ReLU,0.01,150,2,256,0.2392656
5,1,100,0.5,Tanh,0.01,150,2,256,21.399546
5,1,100,0.5,Sigmoid,0.01,150,2,256,16.736738
